ID,Requisição de Timestamp,Timestamp de Resposta,Método,URL,Código,Motivo,RTT,Tamanho do Cabeçalho da Resposta,Tamanho do Corpo da Resposta
2303,Tue Jul 30 21:12:48 BRT 2024,Tue Jul 30 21:12:48 BRT 2024,PUT,http://localhost:8081/v1/product,400,Bad Request,4,142,101
2304,Tue Jul 30 21:12:48 BRT 2024,Tue Jul 30 21:12:48 BRT 2024,PUT,http://localhost:8081/v1/product,400,Bad Request,3,142,101
2305,Tue Jul 30 21:12:48 BRT 2024,Tue Jul 30 21:12:48 BRT 2024,PUT,http://localhost:8081/v1/product,400,Bad Request,3,142,101
2306,Tue Jul 30 21:12:48 BRT 2024,Tue Jul 30 21:12:48 BRT 2024,PUT,http://localhost:8081/v1/product,400,Bad Request,5,142,101
2307,Tue Jul 30 21:12:48 BRT 2024,Tue Jul 30 21:12:48 BRT 2024,PUT,http://localhost:8081/v1/product,400,Bad Request,4,142,101
2308,Tue Jul 30 21:12:48 BRT 2024,Tue Jul 30 21:12:48 BRT 2024,PUT,http://localhost:8081/v1/product,400,Bad Request,3,142,101
2309,Tue Jul 30 21:12:48 BRT 2024,Tue Jul 30 21:12:48 BRT 2024,PUT,http://localhost:8081/v1/product,200,OK,10,132,82
2310,Tue Jul 30 21:12:48 BRT 2024,Tue Jul 30 21:12:48 BRT 2024,PUT,http://localhost:8081/v1/product,200,OK,9,132,92
2311,Tue Jul 30 21:12:48 BRT 2024,Tue Jul 30 21:12:48 BRT 2024,PUT,http://localhost:8081/v1/product,200,OK,9,132,92
2312,Tue Jul 30 21:12:48 BRT 2024,Tue Jul 30 21:12:48 BRT 2024,PUT,http://localhost:8081/v1/product,200,OK,9,132,96
2313,Tue Jul 30 21:12:48 BRT 2024,Tue Jul 30 21:12:48 BRT 2024,PUT,http://localhost:8081/v1/product,200,OK,7,132,96
2314,Tue Jul 30 21:12:48 BRT 2024,Tue Jul 30 21:12:48 BRT 2024,PUT,http://localhost:8081/v1/product,200,OK,9,132,94
2315,Tue Jul 30 21:12:48 BRT 2024,Tue Jul 30 21:12:48 BRT 2024,PUT,http://localhost:8081/v1/product,200,OK,7,132,94
2316,Tue Jul 30 21:12:48 BRT 2024,Tue Jul 30 21:12:48 BRT 2024,PUT,http://localhost:8081/v1/product,200,OK,10,132,87
2317,Tue Jul 30 21:12:48 BRT 2024,Tue Jul 30 21:12:48 BRT 2024,PUT,http://localhost:8081/v1/product,200,OK,9,132,87
2318,Tue Jul 30 21:12:48 BRT 2024,Tue Jul 30 21:12:48 BRT 2024,PUT,http://localhost:8081/v1/product,200,OK,9,132,91
2319,Tue Jul 30 21:12:48 BRT 2024,Tue Jul 30 21:12:48 BRT 2024,PUT,http://localhost:8081/v1/product,200,OK,9,132,91
2320,Tue Jul 30 21:12:48 BRT 2024,Tue Jul 30 21:12:48 BRT 2024,PUT,http://localhost:8081/v1/product,200,OK,8,132,89
2321,Tue Jul 30 21:12:48 BRT 2024,Tue Jul 30 21:12:48 BRT 2024,PUT,http://localhost:8081/v1/product,200,OK,8,132,89
2322,Tue Jul 30 21:12:48 BRT 2024,Tue Jul 30 21:12:48 BRT 2024,PUT,http://localhost:8081/v1/product,200,OK,8,132,93
2323,Tue Jul 30 21:12:48 BRT 2024,Tue Jul 30 21:12:48 BRT 2024,PUT,http://localhost:8081/v1/product,200,OK,8,133,102
2324,Tue Jul 30 21:12:48 BRT 2024,Tue Jul 30 21:12:48 BRT 2024,PUT,http://localhost:8081/v1/product,200,OK,8,133,102
2325,Tue Jul 30 21:12:48 BRT 2024,Tue Jul 30 21:12:48 BRT 2024,PUT,http://localhost:8081/v1/product,200,OK,7,133,107
2326,Tue Jul 30 21:12:48 BRT 2024,Tue Jul 30 21:12:48 BRT 2024,PUT,http://localhost:8081/v1/product,200,OK,8,133,104
2327,Tue Jul 30 21:12:48 BRT 2024,Tue Jul 30 21:12:48 BRT 2024,PUT,http://localhost:8081/v1/product,200,OK,9,133,105
2328,Tue Jul 30 21:12:48 BRT 2024,Tue Jul 30 21:12:48 BRT 2024,PUT,http://localhost:8081/v1/product,200,OK,11,133,103
2329,Tue Jul 30 21:12:48 BRT 2024,Tue Jul 30 21:12:48 BRT 2024,PUT,http://localhost:8081/v1/product,200,OK,11,132,91
2330,Tue Jul 30 21:12:48 BRT 2024,Tue Jul 30 21:12:48 BRT 2024,PUT,http://localhost:8081/v1/product,200,OK,9,132,91
2331,Tue Jul 30 21:12:48 BRT 2024,Tue Jul 30 21:12:48 BRT 2024,PUT,http://localhost:8081/v1/product,200,OK,10,132,96
2332,Tue Jul 30 21:12:48 BRT 2024,Tue Jul 30 21:12:48 BRT 2024,PUT,http://localhost:8081/v1/product,200,OK,10,132,93
2333,Tue Jul 30 21:12:48 BRT 2024,Tue Jul 30 21:12:48 BRT 2024,PUT,http://localhost:8081/v1/product,200,OK,9,132,94
2334,Tue Jul 30 21:12:48 BRT 2024,Tue Jul 30 21:12:48 BRT 2024,PUT,http://localhost:8081/v1/product,200,OK,8,132,92
2335,Tue Jul 30 21:12:48 BRT 2024,Tue Jul 30 21:12:48 BRT 2024,PUT,http://localhost:8081/v1/product,200,OK,10,132,75
2336,Tue Jul 30 21:12:48 BRT 2024,Tue Jul 30 21:12:48 BRT 2024,PUT,http://localhost:8081/v1/product,200,OK,10,132,84
2337,Tue Jul 30 21:12:48 BRT 2024,Tue Jul 30 21:12:48 BRT 2024,PUT,http://localhost:8081/v1/product,200,OK,12,132,86
2338,Tue Jul 30 21:12:48 BRT 2024,Tue Jul 30 21:12:48 BRT 2024,PUT,http://localhost:8081/v1/product,200,OK,9,132,85
2339,Tue Jul 30 21:12:48 BRT 2024,Tue Jul 30 21:12:48 BRT 2024,PUT,http://localhost:8081/v1/product,200,OK,10,132,86
2340,Tue Jul 30 21:12:48 BRT 2024,Tue Jul 30 21:12:48 BRT 2024,PUT,http://localhost:8081/v1/product,200,OK,9,132,95
2341,Tue Jul 30 21:12:48 BRT 2024,Tue Jul 30 21:12:48 BRT 2024,PUT,http://localhost:8081/v1/product,200,OK,10,132,97
2342,Tue Jul 30 21:12:48 BRT 2024,Tue Jul 30 21:12:48 BRT 2024,PUT,http://localhost:8081/v1/product,200,OK,10,132,96
2343,Tue Jul 30 21:12:48 BRT 2024,Tue Jul 30 21:12:48 BRT 2024,PUT,http://localhost:8081/v1/product,200,OK,11,132,97
2344,Tue Jul 30 21:12:48 BRT 2024,Tue Jul 30 21:12:48 BRT 2024,PUT,http://localhost:8081/v1/product,400,Bad Request,4,142,101
2345,Tue Jul 30 21:12:48 BRT 2024,Tue Jul 30 21:12:48 BRT 2024,PUT,http://localhost:8081/v1/product,400,Bad Request,3,142,101
2346,Tue Jul 30 21:12:48 BRT 2024,Tue Jul 30 21:12:48 BRT 2024,PUT,http://localhost:8081/v1/product,400,Bad Request,6,142,101
2347,Tue Jul 30 21:12:48 BRT 2024,Tue Jul 30 21:12:48 BRT 2024,PUT,http://localhost:8081/v1/product,400,Bad Request,3,142,101
2348,Tue Jul 30 21:12:48 BRT 2024,Tue Jul 30 21:12:48 BRT 2024,PUT,http://localhost:8081/v1/product,400,Bad Request,5,142,101
2349,Tue Jul 30 21:12:48 BRT 2024,Tue Jul 30 21:12:48 BRT 2024,PUT,http://localhost:8081/v1/product,400,Bad Request,4,142,101
2350,Tue Jul 30 21:12:48 BRT 2024,Tue Jul 30 21:12:48 BRT 2024,PUT,http://localhost:8081/v1/product,400,Bad Request,3,142,101
2351,Tue Jul 30 21:12:48 BRT 2024,Tue Jul 30 21:12:48 BRT 2024,PUT,http://localhost:8081/v1/product,400,Bad Request,4,142,101
2352,Tue Jul 30 21:12:48 BRT 2024,Tue Jul 30 21:12:48 BRT 2024,PUT,http://localhost:8081/v1/product,400,Bad Request,3,142,101
2353,Tue Jul 30 21:12:48 BRT 2024,Tue Jul 30 21:12:48 BRT 2024,PUT,http://localhost:8081/v1/product,400,Bad Request,3,142,101
2354,Tue Jul 30 21:12:48 BRT 2024,Tue Jul 30 21:12:48 BRT 2024,PUT,http://localhost:8081/v1/product,400,Bad Request,2,142,101
2355,Tue Jul 30 21:12:48 BRT 2024,Tue Jul 30 21:12:48 BRT 2024,PUT,http://localhost:8081/v1/product,400,Bad Request,2,142,101
2356,Tue Jul 30 21:12:48 BRT 2024,Tue Jul 30 21:12:48 BRT 2024,PUT,http://localhost:8081/v1/product,400,Bad Request,3,142,101
2357,Tue Jul 30 21:12:48 BRT 2024,Tue Jul 30 21:12:48 BRT 2024,PUT,http://localhost:8081/v1/product,400,Bad Request,5,142,101
2358,Tue Jul 30 21:12:48 BRT 2024,Tue Jul 30 21:12:48 BRT 2024,PUT,http://localhost:8081/v1/product,400,Bad Request,3,142,101
2359,Tue Jul 30 21:12:48 BRT 2024,Tue Jul 30 21:12:48 BRT 2024,PUT,http://localhost:8081/v1/product,400,Bad Request,4,142,101
2360,Tue Jul 30 21:12:48 BRT 2024,Tue Jul 30 21:12:48 BRT 2024,PUT,http://localhost:8081/v1/product,400,Bad Request,3,142,101
2361,Tue Jul 30 21:12:48 BRT 2024,Tue Jul 30 21:12:48 BRT 2024,PUT,http://localhost:8081/v1/product,400,Bad Request,3,142,101
2362,Tue Jul 30 21:12:48 BRT 2024,Tue Jul 30 21:12:48 BRT 2024,PUT,http://localhost:8081/v1/product,400,Bad Request,5,142,101
2363,Tue Jul 30 21:12:48 BRT 2024,Tue Jul 30 21:12:48 BRT 2024,PUT,http://localhost:8081/v1/product,400,Bad Request,4,142,101
2364,Tue Jul 30 21:12:48 BRT 2024,Tue Jul 30 21:12:48 BRT 2024,PUT,http://localhost:8081/v1/product,400,Bad Request,9,142,101
2365,Tue Jul 30 21:12:48 BRT 2024,Tue Jul 30 21:12:48 BRT 2024,PUT,http://localhost:8081/v1/product,400,Bad Request,6,142,101
2366,Tue Jul 30 21:12:48 BRT 2024,Tue Jul 30 21:12:48 BRT 2024,PUT,http://localhost:8081/v1/product,400,Bad Request,6,142,101
2367,Tue Jul 30 21:12:48 BRT 2024,Tue Jul 30 21:12:48 BRT 2024,PUT,http://localhost:8081/v1/product,400,Bad Request,3,142,101
2368,Tue Jul 30 21:12:48 BRT 2024,Tue Jul 30 21:12:48 BRT 2024,PUT,http://localhost:8081/v1/product,400,Bad Request,3,142,101
2369,Tue Jul 30 21:12:48 BRT 2024,Tue Jul 30 21:12:48 BRT 2024,PUT,http://localhost:8081/v1/product,400,Bad Request,4,142,101
2370,Tue Jul 30 21:12:48 BRT 2024,Tue Jul 30 21:12:48 BRT 2024,PUT,http://localhost:8081/v1/product,400,Bad Request,3,142,101
2371,Tue Jul 30 21:12:48 BRT 2024,Tue Jul 30 21:12:48 BRT 2024,PUT,http://localhost:8081/v1/product,400,Bad Request,3,142,101
2372,Tue Jul 30 21:12:48 BRT 2024,Tue Jul 30 21:12:48 BRT 2024,PUT,http://localhost:8081/v1/product,400,Bad Request,3,142,101
2373,Tue Jul 30 21:12:48 BRT 2024,Tue Jul 30 21:12:48 BRT 2024,PUT,http://localhost:8081/v1/product,400,Bad Request,3,142,101
